review_id,store,rating,title,text,date,theme
6d3955a82b,play,5,,Excellent,2026-07-15,General Praise & Sentiment
bc2a93e6c4,play,5,,fingerprint option I love it ... really great idea for safe payment,2026-07-15,Payment Failures
b5f2959869,play,1,,Worst app,2026-07-15,General Praise & Sentiment
e213473bc3,play,5,,OKAY Welcome,2026-07-14,General Praise & Sentiment
52ece09282,play,3,,fast payment,2026-07-14,Payment Failures
add12acc77,play,2,,bahut bekar app hai kabhi bhi server down ho jaate Hain,2026-07-14,App Performance & Compatibility
3776a3cad0,play,5,,best app ❤️,2026-07-14,General Praise & Sentiment
46487ea3af,play,5,,Nice 👌,2026-07-14,General Praise & Sentiment
b8786e6eed,play,5,,adarsh,2026-07-14,General Praise & Sentiment
b7bf810c3d,play,5,,exelent,2026-07-14,General Praise & Sentiment
06a2bb0342,play,5,,dlsuper,2026-07-14,General Praise & Sentiment
6e164ec1fd,play,5,,good 👍,2026-07-14,General Praise & Sentiment
51e7851bff,play,5,,very nice 💯,2026-07-14,General Praise & Sentiment
c56c766873,play,3,,good,2026-07-14,General Praise & Sentiment
9aca96ceb4,play,5,,best of all upi apps,2026-07-14,General Praise & Sentiment
137903ecb3,play,1,,poor,2026-07-14,General Praise & Sentiment
181ba22f18,play,4,,it's awesome 👍🏻,2026-07-14,General Praise & Sentiment
71081b9cf9,play,4,,good experience using app,2026-07-14,General Praise & Sentiment
32c79d8dfd,play,5,,bahut achha,2026-07-14,General Praise & Sentiment
5549fcfb98,play,5,,very nice 👍,2026-07-14,General Praise & Sentiment
a4ec09bdb7,play,5,,always good working,2026-07-14,General Praise & Sentiment
61e5c6b77b,play,3,,Nice 👍,2026-07-14,General Praise & Sentiment
af634fa670,play,5,,Excellent app...Easy to use,2026-07-14,General Praise & Sentiment
ad9348a1f8,play,4,,Quick and fast transition very well app.,2026-07-14,Features & Usability
74aa45849f,play,5,,good,2026-07-14,General Praise & Sentiment
1530962339,play,5,,❤️‍🔥,2026-07-14,General Praise & Sentiment
7bdf6f690a,play,5,,but phone pe not open,2026-07-14,App Performance & Compatibility
8ef31a6932,play,5,,thank you,2026-07-14,General Praise & Sentiment
06f0f73c96,play,5,,v good,2026-07-14,General Praise & Sentiment
cf1bc82362,play,5,,maahashay!,2026-07-14,General Praise & Sentiment
2ae54b077e,play,4,,good,2026-07-14,General Praise & Sentiment
f467842fb3,play,5,,good,2026-07-14,General Praise & Sentiment
cf4335f7e7,play,5,,Nice,2026-07-14,General Praise & Sentiment
36487e0f8d,play,5,,nice,2026-07-14,General Praise & Sentiment
53578a6eaa,play,5,,good,2026-07-14,General Praise & Sentiment
a30043e281,play,5,,nice,2026-07-14,General Praise & Sentiment
823cf1b9bf,play,5,,good,2026-07-14,General Praise & Sentiment
90c5609b2f,play,1,,the update stops all functions. even after installation,2026-07-14,App Performance & Compatibility
f745383f33,play,5,,this is best app,2026-07-14,General Praise & Sentiment
e2231de760,play,5,,good 👍,2026-07-14,General Praise & Sentiment
5892f0e4c4,play,5,,osame service love this my all broblam solve please safe my account,2026-07-14,Features & Usability
2353fab764,play,4,,bahut acha app h,2026-07-14,General Praise & Sentiment
42e089550a,play,5,,best,2026-07-14,General Praise & Sentiment
926430a0d0,play,5,,good app,2026-07-14,General Praise & Sentiment
aa741d26a2,play,5,,good,2026-07-14,General Praise & Sentiment
b0755081e8,play,1,,bekar aap hai account,2026-07-14,Data Security & Privacy
c916cff777,play,5,,nice,2026-07-14,General Praise & Sentiment
5a58028c2a,play,5,,this app is very struggling,2026-07-14,App Performance & Compatibility
30640379f1,play,5,,well company retail pe,2026-07-14,General Praise & Sentiment
9482c397f7,play,4,,Please pay attention to the money trapping system.,2026-07-14,Payment Failures
0256d9d8ae,play,5,,"User friendly Interface and quick transactions, therefore laudable.",2026-07-14,Features & Usability
3abcb6a7f5,play,5,,my phonepe now open please help me,2026-07-14,App Performance & Compatibility
80510a09b7,play,5,,excellent security,2026-07-14,Data Security & Privacy
5015e1382b,play,1,,phone pe download nahin ho raha,2026-07-14,App Performance & Compatibility
c036c6dd04,play,5,,reword bhi de do kabhi,2026-07-14,Features & Usability
b00f259ebb,play,5,,aap is expensive,2026-07-14,Payment Failures
e9886c6f97,play,5,,exllent service payment mode top cop app,2026-07-14,App Performance & Compatibility
94fd15e62c,play,5,,good interface but so many ads in phone,2026-07-14,Features & Usability
d80242d1bb,play,5,,ye app mera bank balens nhi bata rha hai tecnikali issue ye kya hai bar bar bata rha hai,2026-07-14,App Performance & Compatibility
7a5b67aa0a,play,1,,this app not support my phone it's hanging,2026-07-14,App Performance & Compatibility
24a4f1e28b,play,1,,not be updated,2026-07-14,App Performance & Compatibility
bde7882159,play,5,,good for transfer money and bills,2026-07-14,Features & Usability
3c1ddc9fae,play,4,,superb fast payment 💕,2026-07-14,App Performance & Compatibility
35cd51995f,play,5,,unbelievable work by phone pay for use transaction.,2026-07-14,Features & Usability
bbb9623885,play,3,,"Whenever I open the app for payments or balance inquiries, the ""Upgrading PhonePe Experience"" process always starts in the background, and the app becomes unresponsive for over a minute. On top of that, there are advertisements everywhere.",2026-07-14,App Performance & Compatibility
3ba9a1c051,play,1,,I am not able to transact freely niw on this app now which I used to do one week before . I can't understand why.,2026-07-14,Payment Failures
b8148e3569,play,1,,auto payment not deleted so don't set auto payment this apps not working properly,2026-07-14,Payment Failures
9cd76c06a6,play,5,,I love the new features PhonePe added to the History section. It is now much easier to track outgoings and manage transactions. What makes it better: Monthly Summaries: Shows total spent right at the top of each month. Easy Month Selection: Lets you jump straight to any month without endless scrolling. Green Highlights: Money received stands out clearly so it never gets lost. Simple UI: Still has the easiest navigation and best design out there. Thanks PhonePe Team,2026-07-14,Features & Usability
2d5e8fcbf0,play,5,,nice payment apps for phonepe,2026-07-14,Features & Usability
44d4908b5f,play,1,,"3rd class service, phone PE is marketing platform everytime support reply contact your bank totally non sense app uninstalled",2026-07-14,App Performance & Compatibility
951fe148b5,play,1,,"currently there is a glitch in balance check, it takes too much time to load and is very irritating, kindly solve the issue in the next update.",2026-07-14,App Performance & Compatibility
379046bba5,appstore,5,Good aap for payment,Fast payment but mobile recharge time extra charge so not good for recharge.,2026-07-14,App Performance & Compatibility
fe44e5267f,play,1,,"loan के लिय 199/rs या 249/rs fees के नाम पर काट कर बेवकूफ बनाते हैं।मेरा cibil score 758 है फिर भी , और फीस की मांग कर लुट रहे हैं। और लोन रिजेक्ट कर देते हैं।",2026-07-14,Data Security & Privacy
265c6561ac,play,1,,fraud aap used in territories bussines and organisations,2026-07-14,Data Security & Privacy
9d205a6cdc,play,1,,"Everything is fine in this app but pending payment gets cleared in 48 hours, this is a very useless rule.",2026-07-14,Payment Failures
f535efb781,play,5,,ಫೇಸ್ಬುಕ್ಕಿನಲ್ಲಿ ಮತ್ತು ಫೋನ್ ಪ್ಲೇನಲ್ಲಿ ಯಾವುದೇ ಕೆಲವು ಸಮಯದಲ್ಲಿ ಸರಿಯಾದ ರೀತಿಯಲ್ಲಿ ವ್ಯವಹಾರ ಮಾಡಬೇಕು ಇಲ್ಲದಿದ್ದಲ್ಲಿ ನಮ್ಮ ಹಣ ಇಲ್ಲದಂತಾಗುತ್ತದೆ ನವಹರಿತ ವಿಷಯಗಳು ವಿಷಯಕ್ಕೆ ಮಾತ್ರ ಹಣ ಕಳಿಸಿ ಮತ್ತು ತೆಗೆದುಕೊಳ್ಳಿ ವ್ಯವಹಾರದ ಪ್ರಜ್ಞೆ ಇರಬೇಕು ಓ ನನ್ನ ಜನತೆ ಓಂ ನಮೋ ಶಿವಾಯ,2026-07-14,Data Security & Privacy
a5534f9a2a,play,5,,amazing app but small mistakes,2026-07-14,Features & Usability
91d9d637a1,play,1,,unnecessary wallet inactive fees are charged.,2026-07-14,Payment Failures
4c71eb4709,play,1,,phonepe protect activated digusting must also indicate how to come out of that security block,2026-07-14,App Performance & Compatibility
328dfb6e59,play,5,,"Its always easy to operate and no lag problems during transactions, much simpler interface so that even my not so tech oriented mom can also easily operate it without my help.",2026-07-14,App Performance & Compatibility
abc437ff4d,play,5,,open the p,2026-07-14,Features & Usability
3d2b8d2986,play,4,,it was nise to transfar money seafely..,2026-07-14,Payment Failures
0096eab8c5,play,1,,upi lite show nhi ho rha usme payment hai woh bhi nhi show ho rha kya problem hai yeh ?,2026-07-14,App Performance & Compatibility
cd41fff263,play,5,,Faster response and easier to handle. credit history shown accurately.... No long ques in banks and ATM... This is helping lot of us. customer help is also good response.Keep it up,2026-07-14,Features & Usability
3582e183c3,play,4,,other mobile phone pay not send amount cancel to protect upi pin,2026-07-14,Payment Failures
1b854a6f59,play,3,,sometimes the app doesn't support payment,2026-07-14,Payment Failures
c2a0873d18,play,4,,easy use,2026-07-14,Features & Usability
ec9eca1ef2,play,1,,is not opening,2026-07-14,App Performance & Compatibility
792c1f8218,play,1,,phone pe Aasani Se Koi Hacker Hack Kar Leta Hai Phone Pe Insecure App No Sefty risky 100% Hacking ka 90% Chans phone pe company se nivedan hai 100% Secure Banay Abhi Aapka Phone Pay 10% Hi Secure Hai Jada Paysa Rakhna Risk Hai Mera din achha tha wallet me se paysa aaj subah Nikal Nila sirf 10 rs tha Nahi To Hacker Sab Paysa Le Urta Ab Se Phone pe Par Paysa rakhna Band 🥵🥵🥵🥵🥵🥵🥵🥵🥵🥵🥵🥵🥵🥵🥵🥵🥵🥵🥵🥵🥵🥵🥵🥵🥵🥵🥵🥵🥵🥵🥵🥵🥵🥵🥵🥵🥵🥵🥵🥵🥵🥵🥵🥵🥵,2026-07-14,Data Security & Privacy
932b5b5dab,play,5,,fast and secure transection.,2026-07-14,App Performance & Compatibility
8566eed016,play,2,,after update app is continue asking for update,2026-07-14,App Performance & Compatibility
6b1dbc82fd,play,4,,this app is continuously just making me update and pen I am getting irritated 😤 improve 😑 Good 👍 thank you for improvement 👏,2026-07-14,Features & Usability
a6bf703a91,play,4,,good but quick slow 🤏,2026-07-14,App Performance & Compatibility
8a2fab238a,play,2,,"The app is good, and I personally like it, but the support system is very bad. My support chat doesn't open, and there is no other option I found which could help me with my problem. If I have to recommend this app to someone, I would rethink it once because of this problem and then tell them whether to use it or not. thankyou",2026-07-14,App Performance & Compatibility
df03907e62,play,1,,phonePe application not working properly 🚫 fix this problem immediately,2026-07-14,App Performance & Compatibility
e6eb1f6d2a,play,1,,unable to link accounts for 'security reasons'. no one bothers to even reply to ticket or email. phone support is just bots. waiting for 30 days before approaching rbi banking ombudsman.,2026-07-14,Data Security & Privacy
ad4b730ebb,play,5,,nice easy payment,2026-07-14,Payment Failures
0efe157cbd,play,5,,very fast,2026-07-14,App Performance & Compatibility
a5578faaa1,play,5,,fast to pay,2026-07-14,App Performance & Compatibility
241f5d41d3,play,5,,great application,2026-07-14,Features & Usability
c54e85b92a,play,1,,my phone pay account is blocked,2026-07-14,Payment Failures
bde46aa580,play,4,,Good but use chesthunaa amount aduko rasukone note ute bagudu... etha amount Ela use chesthunaro teliyadam ledhu asallu edhana feature add cheyadi kocham,2026-07-14,Features & Usability
ba060c3994,play,5,,Easy and usefull app for Tranction,2026-07-14,Features & Usability
10c6c02ffa,play,3,,my phonepe account is blocked why I don't know please unblock my account humble request 😭,2026-07-14,Payment Failures
5f0c75dad8,play,1,,my phone account is block i will try some time but not unblock my account,2026-07-14,Payment Failures
6a12ccc112,play,5,,best payment aap,2026-07-14,Payment Failures
3a489338f0,play,5,,very useful app easy payment method,2026-07-14,Features & Usability
8cc46f1d61,play,4,,i like this app for best,2026-07-14,Features & Usability
5a9572b675,play,2,,mutual fund me minimum investment 100 h fir 10rs kyu likh rakha h 😡,2026-07-14,Features & Usability
65ed7f5e22,play,1,,after recharge cut some extra money,2026-07-14,Payment Failures
8e0c8f92cb,play,1,,"very bad experience, how do i get all my data deleted from your servers?",2026-07-14,Data Security & Privacy
7688646de8,play,2,,updated is many times,2026-07-14,App Performance & Compatibility
6f4d32203e,play,4,,emi avasaram ledhu submit,2026-07-14,Features & Usability
e29d447a24,play,4,,its useful app,2026-07-14,Features & Usability
6b12e4aaca,play,1,,"This update is really disappointing me, because if i go to send money to other person that interface is not coming back with one click to home page.",2026-07-14,App Performance & Compatibility
a609e29850,play,5,,Not open Phone pe. please see what's the problem?,2026-07-14,App Performance & Compatibility
484ec33441,play,1,,it automatically block my account without any reason and solution,2026-07-14,App Performance & Compatibility
18abdbcb92,play,1,,very baad app hang ho jata hai,2026-07-14,App Performance & Compatibility
32536581fb,play,5,,good bank payment app,2026-07-14,Features & Usability
e53bf5d23f,play,1,,waste support,2026-07-14,App Performance & Compatibility
28405d379b,play,5,,Easy to use ...and very helpful also,2026-07-14,Features & Usability
2887d6a631,play,1,,app not working,2026-07-14,App Performance & Compatibility
c7b5f414c0,play,1,,not working,2026-07-13,App Performance & Compatibility
2813034b54,play,5,,phone pay is good 😊 every transaction is safe .👍,2026-07-13,Payment Failures
a391ca015a,play,1,,Worst payment app ever. Payments are always stuck. I'm uninstalling this app. refer gpay bhim upi is best,2026-07-13,Payment Failures
377921e8c7,play,4,,"The app is very good in design and functionality but, the platform fee when we recharge mobile or we recharge any bill such as electricity bill etc , is very high which is not affordable.",2026-07-13,Features & Usability
3e96a78433,play,5,,casbak unlimited,2026-07-13,Features & Usability
202e51d02a,play,5,,easy transfer and shake the phone open the scanner very nice app,2026-07-13,Features & Usability
1d559b942c,play,5,,nat work my phonepe last time check balance amount not working,2026-07-13,App Performance & Compatibility
7ff5eb7241,play,1,,"Hi, we understand how important this matter is to you. Please share the transaction ID related to the duplicate payment with us via DM so we can verify the details and assist you in resolving the issue as quickly as possible. ∞KS why you don't answer me, even you said to reply back, but you didn't respond my query, due to your fault I pay twice for my recharge, and now you dont reply back & what about my extra amount deducted?",2026-07-13,Payment Failures
00dc55687f,play,1,,some times app doesn't work bad experience,2026-07-13,App Performance & Compatibility
7a1455eccf,play,5,,The App was performed as well,2026-07-13,App Performance & Compatibility
902a4d11e4,play,5,,password problem,2026-07-13,Data Security & Privacy
89753f47a3,play,4,,nice payment app,2026-07-13,Features & Usability
4aeeeb0aa9,play,5,,"Among all the UPI apps I have tried, PhonePe is literally the best. Highly recommended. The UI, the support, the ease, everything is perfect.",2026-07-13,Features & Usability
85e34879c7,play,4,,This app is almost ok but sometimes it glithes and and sometimes the app payments are delayed when there is low network but the app is good recommend ed for payments,2026-07-13,App Performance & Compatibility
a4106312a9,play,5,,very helpful app easy to use easy to send money and easily to borrow money...safe app,2026-07-13,Features & Usability
7774e2cdf3,play,5,,food for fast payment,2026-07-13,Payment Failures
db2da2401a,play,1,,"This is Scam app, It shows reffer and Cashback , but when you do successful Refferal and try to Earn, it shows no response at all.",2026-07-13,Data Security & Privacy
2ef122e906,play,5,,it can be use well and also it's not so hard to operate,2026-07-13,Features & Usability
ffbe875a14,play,1,,good performance,2026-07-13,App Performance & Compatibility
f908e6fb13,appstore,1,Waste,No,2026-07-13,App Performance & Compatibility
ffda5abbe7,appstore,1,Fraud scam,Never refund in any fraud or scam happened,2026-07-13,Data Security & Privacy
f7fb7f75ec,appstore,5,Excellent,Excellent app for all payments,2026-07-13,Features & Usability
931a21f3bd,appstore,5,Reason,Actually main reason is that  this was my first upi app I ever used since then I loved with phone pay,2026-07-13,Features & Usability
0af115630b,appstore,4,Nuisance,Why i am getting review popup again and again even though i had reviewed,2026-07-13,Features & Usability
7a0e7df7f8,appstore,1,No real customer care only bots,No support in case of fraud transactions.. every ticket is automatically solved,2026-07-13,Data Security & Privacy
8e3821cebd,appstore,5,Payment,Easy way to do payment and invests,2026-07-13,Features & Usability
660fe71d9c,appstore,5,Cute payment method,Fast payment on effortless mode,2026-07-13,Features & Usability
502b673295,play,5,,Good Features 👍🏻,2026-07-13,Features & Usability
b65f66b60b,play,5,,very easy to use,2026-07-13,Features & Usability
9d7b61dcbe,appstore,5,Easy peasy,Amm I found this app more generous than other UPI’s tbh,2026-07-13,Features & Usability
2515c18e46,play,5,,easy to pay 😉,2026-07-13,Features & Usability
28fc9b2ec6,play,1,,fraud done through this app by Meesho grocery new fraud app,2026-07-13,Payment Failures
f7d97c3e45,play,1,,unnecessary charges deducted when I pay the gas bill and other bill like my gas bill 1300 and I am paying through phone pay he deducted 1340 40 rupees extra.,2026-07-13,Payment Failures
e748863f31,play,1,,this app not best phone or outo pay problem,2026-07-13,Payment Failures
3376594459,play,3,,recharge ka Paisa kyon lete ho platform charge Lena band karo,2026-07-13,Payment Failures
4efffe18d2,play,5,,fast payment,2026-07-13,Payment Failures
0058eb79d6,play,3,,recharge services fees are just too much,2026-07-13,Payment Failures
39c4c2944a,play,1,,My axis Bank credit card application pending from last 10 day in phonepay. if I call axis Bank they don't tell anything because you are purchasing from 3rd party. there is no call service to ask for credit card help in phonepay. now I have a plan to buy health insurance from phonepay but due to this poor service by phonepay I hold my plan to buy health insurance. atleast give me my application number,2026-07-13,Payment Failures
c37479c66b,play,4,,Good app but Not as Google pay,2026-07-13,Payment Failures
fd62d1682c,play,5,,plz dont cut money,2026-07-13,Payment Failures
e0ac314171,play,5,,Worst app ever always failing and giving trouble in that 48 hours for pur refund we have to wait switch to gpay or paytm,2026-07-13,Payment Failures
d2ec39a571,play,1,,"very bad,"" ""terrible not saport any payment issue customer saport nothing and rong payment details this app just calling customer care number no received my call and no response my message .very bad not use any payment 😔",2026-07-13,Data Security & Privacy
358d1f45ae,play,1,,the payment of all time is failed during the app also on time of use of money,2026-07-13,Payment Failures
c1f43c3252,play,5,,my account are so sequrity my account,2026-07-13,Data Security & Privacy
7b5433002a,play,1,,I hate phonepay wallet charged system,2026-07-13,Payment Failures
8409ee426b,play,5,,best payment app,2026-07-13,Payment Failures
b647f3e052,play,1,,deducts money for not using app for one year,2026-07-13,Payment Failures
4a758e6e52,play,5,,this is the best appp for payment,2026-07-13,Payment Failures
40c457f75a,play,5,,awesome payment app,2026-07-13,Payment Failures
39bc87fd81,play,3,,reward nhi mila,2026-07-13,Payment Failures
77c7831630,play,3,,payment failed repeated and no satisfied answers,2026-07-13,Payment Failures
193a234898,play,1,,it's blocked my account... Worst app I ever used,2026-07-12,Data Security & Privacy
b4cee1c512,play,1,,froud app don't use every people,2026-07-12,Data Security & Privacy
f736d231d2,play,1,,"sent 20k to a friend but when he checked it never went into his account, but the money has already been cut already from my account, this has happened a lot of times already",2026-07-12,Payment Failures
3b79801544,play,1,,"I have been trying to delete my AutoPay for the last 5 days, but it is still not deleted. The app keeps showing that the deletion is ""in progress,"" and after a while, the AutoPay becomes active again. I didn't expect such a slow and frustrating experience from PhonePe. Please fix this issue as soon as possible.",2026-07-12,Data Security & Privacy
420852c833,appstore,5,Review,Safe and secure transactions,2026-07-12,Data Security & Privacy
5923679364,appstore,5,Sabbu,So much use of every one this app is safe and secure,2026-07-12,Data Security & Privacy
4b46b2718c,play,1,,"No option to deactivate profile, customer support is limited options Bot. no agent nor other option to connect. How to revoke consent and remove data collected. Transfer the wallet balance to any charity and close account without the hops n loops to mask. Edit 11-Jul: Ticket raised on 3-Jul no use. response in 3 days and for follow-up on 9-Jul response in 6hrs long gone, no update just default info as BOT.",2026-07-12,Data Security & Privacy
9e9e5674a7,play,1,,"Horrible app They auto debit from your wallet but when you try to close the account with balance wallet they won't let you do it. Even after standard KYC of Govt ID, THEY keep on asking 5-6 other family questions of income, etc as mandatory. On help they have two options Chat or Contact Us, first tried Chat which is clearly managed by Bot with limited options, then reached out to Contact Us that was IVR menu only. Bye PhonePe.",2026-07-12,Data Security & Privacy
922013838c,play,1,,my wallet money is back my account 😭,2026-07-12,Data Security & Privacy
0539531d74,play,4,,I am not receiving notification when I receive money in my account,2026-07-12,Data Security & Privacy
7e25a08f1e,appstore,1,Unethical practices,PhonePe is repeatedly sending messages that they would charge me hundred ₹ per quarter If I don’t use their wallet. I simply had used one’s PhonePe for some payments and I didn’t like that so I stopped using it and I had no money  in the wallet. This is blatant cheating and unauthorized an ethical practises.,2026-07-10,Data Security & Privacy
8fb78c2abd,appstore,5,Digital India,Phone pay is the Big brother India in Digital payment,2026-07-10,Data Security & Privacy
bdc9b39f25,appstore,5,Good,Secured,2026-07-09,Data Security & Privacy
